id,name,set,variant,tcg_market,tcg_updated,cardmarket_trend
base4-4,Charizard,Base Set 2,holofoil,371.97,2026/05/12,238.88
gym2-2,Blaine's Charizard,Gym Challenge,1stEditionHolofoil,894.61,2026/05/12,533.56
